BiGG Models Name	Blongum	Fsuccinogenes	Ckluyveri	Zmobilis	Melsdenii	Lhilgardii	Efaecalis	Nstercoris
Alcohol dehydrogenase (ethanol)	1	0	1	1	1	1	1	0
3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	0	0	1	0	1	0	0	0
3-hydroxybutyryl-CoA dehydrogenase (NADP)	0	0	1	0	1	0	0	0
3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)	0	0	1	0	1	0	0	0
3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)	0	0	1	0	1	0	0	0
3-hydroxyacyl-CoA dehydrogenase (3-oxovaleryl-CoA)	0	0	1	0	1	0	0	0
D-lactate dehydrogenase	0	0	0	1	0	0	0	0
Phosphogluconate dehydrogenase (NAD)	0	0	0	0	0	0	0	0
Glucose 6-phosphate dehydrogenase	0	0	0	0	0	1	0	0
Malate dehydrogenase	0	1	0	0	0	1	0	1
Malic Enzyme (NAD)	0	0	0	0	0	0	0	0
Malic enzyme (NADP)	0	0	1	0	0	0	0	0
Isocitrate dehydrogenase (NAD)	1	1	1	0	0	0	0	0
Isocitrate dehydrogenase (NADP)	1	1	1	0	0	0	0	0
Phosphogluconate dehydrogenase	1	0	0	0	1	1	1	0
Gamma-hydroxybutyrate dehydrogenase (NADH)	0	0	0	0	0	0	0	0
Glycerol-3-phosphate dehydrogenase (NAD)	0	0	1	0	1	1	1	0
Glycerol-3-phosphate dehydrogenase (NADP)	0	0	1	0	1	1	1	0
(FeFe)-hydrogenase, cytoplasm	0	0	1	0	0	0	0	0
Ferredoxin---NADP+ reductase	0	0	0	0	0	0	0	0
Acetaldehyde dehydrogenase (acetylating)	1	0	1	0	0	1	1	0
Pyruvate dehdyrogenase	0	0	0	0	0	0	0	0
2-Oxoglutarate dehydrogenase	0	0	0	0	0	0	0	0
Glyceraldehyde-3-phosphate dehydrogenase	0	0	0	0	0	0	0	0
Lactaldehyde dehydrogenase	0	0	0	0	0	0	0	0
Succinate-semialdehyde dehydrogenase (NAD)	0	0	0	0	0	0	0	0
Aldehyde dehydrogenase (acetaldehyde, NAD)	0	0	0	0	0	0	0	0
Aldehyde dehydrogenase formaldehyde NAD	0	0	0	0	0	0	0	0
Succinate-semialdehyde dehydrogenase (NADP)	0	0	0	0	0	0	0	0
*Pyruvate flavodoxin oxidoreductase	0	0	0	0	0	0	0	0
2-oxoglutarate ferredoxin oxidoreductase	0	0	0	0	0	0	0	0
Carbon monoxide dehydrogenase / acetyl-CoA synthase 2	0	0	1	0	0	0	0	0
Electron bifurcating lactate dehydrogenase	0	0	0	0	0	0	0	0
Acryloyl-CoA reductase	0	0	0	0	0	0	0	0
Succinate dehydrogenase	0	0	0	0	0	0	0	0
Acyl-CoA dehydrogenase (butanoyl-CoA)	0	0	0	0	0	0	0	0
Acyl-CoA dehydrogenase (hexanoyl-CoA)	0	0	0	0	0	0	0	0
Acyl-CoA dehydrogenase (octanoyl-CoA)	0	0	0	0	0	0	0	0
Acyl-CoA dehydrogenase (pentanoyl-CoA)	0	0	0	0	0	0	0	0
Acyl-CoA dehydrogenase (heptanoyl-CoA)	0	0	0	0	0	0	0	0
5,10-methylenetetrahydrofolate reductase (NADH)	1	1	1	1	1	1	0	1
FMN reductase NADPH dependent	0	0	0	0	0	0	0	0
FMN reductase	0	0	0	0	0	0	0	0
Methylenetetrahydrofolate dehydrogenase (NADP)	0	1	0	1	0	0	0	1
NAD(P) transhydrogenase	0	0	0	0	0	0	0	1
Methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase (MeTr)	0	0	0	0	0	0	0	0
Methylmalonyl-CoA Carboxyltransferase	0	0	0	0	0	0	0	0
Transketolase 1	1	0	0	1	1	0	1	1
Transketolase 2	1	0	0	1	1	0	1	1
Transaldolase	1	0	0	0	0	0	0	1
Hexanoyl-CoA:acetyl-CoA C-acyltransferase	0	0	0	0	0	1	0	1
Acetyl-CoA C-acyltransferase (3-oxovaleryl-CoA)	0	0	0	0	0	1	0	1
Acetyl-CoA synthase	0	0	0	0	0	0	0	0
Pyruvate formate lyase	1	1	1	1	0	0	1	0
Phosphotransacetylase	1	1	1	0	1	1	1	1
Acetyl-CoA C-acetyltransferase	0	0	0	0	0	0	0	0
Butanoyl-CoA:acetyl-CoA C-butanoyltransferase	0	0	0	0	0	1	0	1
Acetyl-CoA C-acyltransferase (3-oxoheptanoyl-CoA)	0	0	0	0	0	1	0	1
Citrate synthase	0	0	0	0	0	0	0	1
ATP Citrate Lyase	0	0	0	0	0	0	0	0
Malate synthase	0	0	0	0	0	0	0	0
Aspartate transaminase	0	0	0	1	0	0	0	0
Glucokinase	1	0	0	1	0	1	1	1
Phosphoenolpyruvate:glycerone phosphotransferase	0	0	0	0	1	0	1	1
Dihydroxyacetone phosphotransferase	0	0	0	0	1	0	1	1
Tagatose-6-phosphate kinase	0	0	0	0	0	0	1	0
