UniProt ID	Zmobilis	Nstercoris	Melsdenii	Ckluyveri	Efaecalis	Blongum	Fsuccinogenes	Lhilgardii
P08997	0	0	0	0	0	0	0	0
P0ABA4	0	1	0	0	0	0	0	1
P0A7B3	0	1	1	1	0	1	1	1
P52643	2	1	2	4	1	2	1	11
A0A6L5GPD6	1	0	2	2	0	0	1	0
P77366	0	0	1	1	4	0	0	2
P0AD61	1	1	2	1	1	1	0	1
A0A6N7IYC5	0	0	0	0	0	0	2	0
G3KIM4	0	0	1	0	0	0	0	0
Q6F494	0	0	0	0	0	0	1	0
A0A6L5GQN4	1	0	2	2	0	0	1	0
P0A6E6	0	1	1	1	0	0	0	0
P02920	0	0	0	0	0	1	0	1
P27550	0	1	0	1	0	0	1	0
P0AGE9	1	2	0	0	0	1	0	0
P0A9V8	0	1	1	0	1	0	0	1
P08200	2	2	2	0	0	1	1	1
P52697	0	0	0	0	0	0	0	0
P9WID7	0	0	1	1	1	0	1	0
P23495	1	0	1	1	1	0	0	0
A0A6N7J0W2	1	0	2	1	0	0	0	0
Q9HUU1	0	0	0	0	0	0	0	1
P23494	1	0	1	1	1	0	0	0
P37387	0	0	0	0	0	1	0	0
A0A6N7IZF8	1	0	1	1	0	0	0	0
P0ABA6	1	1	1	1	1	1	0	1
P0AB71	0	0	0	0	1	1	0	0
P0A7A9	1	0	0	0	0	1	1	0
P52043	0	0	0	2	0	0	1	0
O52682	0	0	0	0	0	0	0	0
G3KIM3	0	0	1	0	0	0	0	0
A0A6N7IY41	0	0	1	1	1	0	0	0
Q8ZPV9	0	2	0	0	0	1	0	0
O52683	0	0	0	1	0	0	0	0
P25553	2	1	2	0	2	0	1	4
A0A6N7J0N4	0	0	1	0	0	0	0	0
P0AB74	0	1	1	1	1	0	1	0
P0A7Z0	0	1	0	0	1	1	1	2
P0A796	0	0	1	1	1	0	0	0
O52681	0	1	0	0	1	0	1	0
P0AG07	1	1	1	1	2	1	1	1
P46154	0	0	0	0	0	0	0	0
A0A6N7J1B3	0	1	1	2	0	1	0	1
A0A6N7J178	0	0	0	0	0	0	0	0
P0AFG3	0	1	0	0	0	0	0	0
P38942	0	0	3	3	0	0	0	0
P22259	0	0	1	1	0	0	0	0
P0A283	0	0	2	1	8	1	0	1
P00944	0	0	0	0	0	1	0	1
P39451	1	0	0	0	0	1	0	1
P0ADF6	2	1	1	1	0	1	1	1
P0A9J6	0	0	2	0	2	2	0	1
P0A731	0	0	0	0	1	0	0	0
A0A6L5GP40	0	0	0	0	0	0	0	0
B8I0V5	0	0	2	0	0	0	0	0
P26616	1	1	1	0	0	0	0	1
Q8L388	1	0	0	0	0	0	0	0
P75893	0	0	0	0	0	0	0	0
P0A867	0	0	0	0	0	0	0	0
P17596	0	1	0	1	0	0	0	0
P27253	0	0	0	0	0	0	0	0
P09147	0	2	5	4	3	3	3	1
P0A9G6	0	0	0	0	0	0	0	0
A0A6N7J0I1	0	0	0	0	0	0	0	0
A0A6N7J2P1	0	2	2	3	1	0	0	1
A0A6N7J2R9	1	0	5	2	0	0	0	0
P0AFG6	1	2	0	1	2	0	0	1
P25526	2	1	2	0	2	0	1	4
A0A6N7IYD6	0	1	0	0	0	0	2	0
P0A858	1	1	1	1	1	1	1	1
G0VND6	0	0	4	0	0	0	0	0
P69330	0	0	0	0	1	0	0	0
P17413	0	0	0	0	0	0	0	0
P0A9I1	1	1	0	0	1	0	0	0
P25516	1	2	0	0	0	1	1	1
P0A8Z0	1	0	0	0	0	0	1	0
P0AC44	0	0	0	0	0	0	0	0
B3EY95	0	0	0	2	0	0	1	0
Q9AEM9	0	0	0	0	0	1	0	2
P17412	1	2	1	2	0	2	2	0
P00350	0	0	1	0	1	1	0	1
P0A9P0	2	3	1	2	4	1	0	3
P69441	1	1	1	1	1	1	1	1
P75726	0	0	0	0	1	0	0	0
P42405	0	0	0	0	1	0	0	1
P09148	0	0	0	0	0	1	0	0
P0AEZ1	1	1	1	0	0	1	1	1
P24186	1	1	1	1	1	1	1	1
P94692	0	0	3	2	1	0	1	0
P27302	1	1	1	0	1	1	1	0
P75849	2	1	2	2	1	0	1	0
P0AC53	1	1	0	0	1	1	0	1
P0AC84	1	1	0	0	0	0	0	0
P0A6L0	0	0	0	1	0	0	0	0
P0AFG8	0	1	0	0	0	0	0	0
P33570	1	1	1	0	1	1	1	0
A0A6N7IZ71	0	0	1	1	0	0	0	0
P42404	0	0	0	0	0	0	0	1
P0A9Q5	1	1	0	1	1	0	0	1
Q8GBW6	0	0	1	0	0	1	1	0
P0ABH7	1	1	1	1	0	1	1	1
P00343	0	0	1	1	1	2	1	3
P09373	1	0	0	1	1	1	1	0
P76558	0	0	0	0	0	0	1	0
